,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality,wbEconomy,wbCode,wbRegion,wbIncome_group,wbLending category,wbOther (EMU or HIPC)
8037,NCL,Oceania,New Caledonia,2021-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115218.0,60764.0,54454.0,,566.0,40.36,21.28,19.07,1983.0,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,New Caledonia,NCL,East Asia & Pacific,1_High income,,
8173,NZL,Oceania,New Zealand,2021-07-06,2764.0,5.0,3.0,26.0,0.0,0.0,573.178,1.037,0.622,5.392,0.0,0.0,,,,,,,,,,5057.0,2322228.0,481.56699999999995,1.0490000000000002,6208.0,1.287,0.0,2069.3,tests performed,1270719.0,768867.0,501852.0,20318.0,17180.0,26.35,15.94,10.41,3563.0,22.22,4822233.0,18.206,37.9,15.322000000000001,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.9309999999999999,,New Zealand,NZL,East Asia & Pacific,1_High income,,
8235,MKD,Europe,North Macedonia,2021-07-06,155732.0,16.0,7.143,5486.0,0.0,0.28600000000000003,74749.686,7.68,3.428,2633.2209999999995,0.0,0.13699999999999998,,,,,,,,,,,,,,,,,,,613219.0,380624.0,232595.0,,11968.0,29.43,18.27,11.16,5745.0,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,,North Macedonia,MKD,Europe & Central Asia,2_Upper middle income,IBRD,
8412,NOR,Europe,Norway,2021-07-06,132363.0,227.0,189.429,794.0,0.0,0.28600000000000003,24415.623,41.872,34.942,146.461,0.0,0.053,,,,,,,,,,,,,,,,,,,4412517.0,2843717.0,1568800.0,0.0,44773.0,81.39,52.46,28.94,8259.0,,5421242.0,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.9570000000000001,,Norway,NOR,Europe & Central Asia,1_High income,,
8537,PSE,Asia,Palestine,2021-07-06,314780.0,211.0,132.714,3576.0,3.0,2.1430000000000002,61704.437000000005,41.361000000000004,26.015,700.982,0.588,0.42,,,,,,,,,,,,,,,,,,,907479.0,527888.0,379591.0,8323.0,7265.0,17.79,10.35,7.44,1424.0,,5101416.0,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.708,,West Bank and Gaza,PSE,Middle East & North Africa,3_Lower middle income,,
8649,PAN,North America,Panama,2021-07-06,410004.0,1276.0,1060.4289999999999,6591.0,8.0,7.857,95023.41699999999,295.72900000000004,245.767,1527.5439999999999,1.854,1.821,,,,,,,,,,,,,,,,,,,1646855.0,1067681.0,579174.0,32005.0,16087.0,38.17,24.74,13.42,3728.0,,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,,Panama,PAN,Latin America & Caribbean,2_Upper middle income,IBRD,
8774,PRY,South America,Paraguay,2021-07-06,431367.0,1483.0,1396.8570000000002,13553.0,106.0,112.85700000000001,60478.82,207.921,195.843,1900.1670000000001,14.860999999999999,15.823,,,,,,,,,,,,,,,,,,,781010.0,645039.0,135971.0,14250.0,15275.0,10.95,9.04,1.91,2142.0,,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,,Paraguay,PRY,Latin America & Caribbean,2_Upper middle income,IBRD,
8901,PER,South America,Peru,2021-07-06,2069051.0,2374.0,2990.857,193588.0,199.0,241.28599999999997,62752.052,72.001,90.709,5871.312,6.035,7.318,,,,,,,,,,,,,,,,,,,8341739.0,4928417.0,3413322.0,103999.0,130642.0,25.3,14.95,10.35,3962.0,,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,Peru,PER,Latin America & Caribbean,2_Upper middle income,IBRD,
8957,PHL,Asia,Philippines,2021-07-06,1445832.0,4086.0,5396.286,25296.0,104.0,105.571,13194.175,37.287,49.245,230.843,0.9490000000000001,0.963,,,,,,,,,,,,,,,,,,,11967805.0,9047357.0,2920448.0,,247350.0,10.92,8.26,2.67,2257.0,,109581085.0,351.87300000000005,25.2,4.803,2.661,7599.188,,370.43699999999995,7.07,7.8,40.8,78.46300000000001,1.0,71.23,0.718,,Philippines,PHL,East Asia & Pacific,3_Lower middle income,IBRD,
9101,POL,Europe,Poland,2021-07-06,2880403.0,95.0,84.571,75095.0,10.0,12.857000000000001,76107.302,2.51,2.235,1984.194,0.264,0.34,,,,,,,,,,,,,,,,,,,30397872.0,17194359.0,14218165.0,249262.0,215588.0,80.32,45.43,37.57,5696.0,,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,,Poland,POL,Europe & Central Asia,1_High income,IBRD,
9269,PRT,Europe,Portugal,2021-07-06,892741.0,2170.0,2220.857,17118.0,1.0,3.714,87551.89300000001,212.81400000000002,217.801,1678.777,0.098,0.364,,,,,,,,,,,,,,,,,,,9320088.0,5809328.0,3798598.0,146368.0,119970.0,91.4,56.97,37.25,11766.0,,10196707.0,112.37100000000001,46.2,21.502,14.924000000000001,27936.896,0.5,127.84200000000001,9.85,16.3,30.0,,3.39,82.05,0.8640000000000001,,Portugal,PRT,Europe & Central Asia,1_High income,,EMU
9338,QAT,Asia,Qatar,2021-07-06,222760.0,93.0,115.286,594.0,1.0,0.857,77318.765,32.28,40.015,206.174,0.34700000000000003,0.298,,,,,,,,,,,,,,,,,,,3304045.0,1797077.0,1506968.0,27629.0,27857.0,114.68,62.38,52.31,9669.0,,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,,Qatar,QAT,Middle East & North Africa,1_High income,,
9507,ROU,Europe,Romania,2021-07-06,1081030.0,51.0,41.428999999999995,34021.0,48.0,59.428999999999995,56193.361,2.6510000000000002,2.154,1768.4560000000001,2.495,3.089,,,,,,,,,,13261.0,8415178.0,437.43199999999996,0.6890000000000001,11954.0,0.621,0.003,288.5,tests performed,9058875.0,4774498.0,4612007.0,16705.0,17369.0,47.09,24.82,23.97,903.0,,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.828,,Romania,ROU,Europe & Central Asia,2_Upper middle income,IBRD,
9621,RUS,Europe,Russia,2021-07-06,5591030.0,22926.0,23152.714,137005.0,726.0,670.143,38311.924,157.09799999999998,158.651,938.812,4.975,4.592,,,,,,,,,,473384.0,153225588.0,1049.962,3.2439999999999998,511983.0,3.508,0.045,22.1,tests performed,44317901.0,26086927.0,18230974.0,1284609.0,712782.0,30.37,17.88,12.49,4884.0,,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,431.29699999999997,6.18,23.4,58.3,,8.05,72.58,0.8240000000000001,,Russian Federation,RUS,Europe & Central Asia,2_Upper middle income,IBRD,
9625,RWA,Africa,Rwanda,2021-07-06,44279.0,883.0,868.7139999999999,491.0,12.0,8.571,3418.645,68.17399999999999,67.071,37.909,0.9259999999999999,0.662,,,,,,,,,,4766.0,1677512.0,129.516,0.368,8029.0,0.62,0.10800000000000001,9.2,samples tested,643966.0,392003.0,251963.0,,2180.0,4.97,3.03,1.95,168.0,,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.5429999999999999,,Rwanda,RWA,Sub-Saharan Africa,4_Low income,IDA,HIPC
9670,LCA,North America,Saint Lucia,2021-07-06,5352.0,26.0,8.571,85.0,0.0,0.14300000000000002,29145.722999999998,141.59,46.678000000000004,462.89,0.0,0.778,,,,,,,,,,,,,,,,,,,53189.0,31037.0,22152.0,97.0,85.0,28.97,16.9,12.06,463.0,,183629.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.20200000000001,1.3,76.2,0.759,,St. Lucia,LCA,Latin America & Caribbean,2_Upper middle income,Blend,
9674,WSM,Oceania,Samoa,2021-07-06,3.0,0.0,0.0,,,0.0,15.12,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,62161.0,52907.0,9254.0,,1071.0,31.33,26.67,4.66,5398.0,,198410.0,69.413,22.0,5.606,3.5639999999999996,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715,,Samoa,WSM,East Asia & Pacific,3_Lower middle income,IDA,
9746,SAU,Asia,Saudi Arabia,2021-07-06,495309.0,1277.0,1314.714,7907.0,16.0,14.714,14227.348,36.681,37.764,227.122,0.46,0.423,,,,,,,,,,,,,,,,,,,18892398.0,16987146.0,1905252.0,192905.0,174351.0,54.27,48.79,5.47,5008.0,,34813867.0,15.322000000000001,31.9,3.295,1.845,49045.41099999999,,259.538,17.72,1.8,25.4,,2.7,75.13,0.8540000000000001,,Saudi Arabia,SAU,Middle East & North Africa,1_High income,,
9841,SRB,Europe,Serbia,2021-07-06,717093.0,110.0,90.714,7061.0,2.0,2.571,105383.62599999999,16.166,13.331,1037.681,0.294,0.37799999999999995,,,,,,,,,,,,,,,,,,,5320000.0,2730000.0,2590000.0,,10860.0,78.18,40.12,38.06,1596.0,,6804596.0,80.291,41.2,17.366,,14048.881000000001,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.8059999999999999,,Serbia,SRB,Europe & Central Asia,2_Upper middle income,IBRD,
9932,SGP,Asia,Singapore,2021-07-06,62640.0,10.0,11.0,36.0,0.0,0.0,10707.065,1.709,1.88,6.153,0.0,0.0,,,,,,,,,,,,,,,,,,,5933179.0,3729907.0,2203272.0,74608.0,74418.0,101.42,63.76,37.66,12720.0,,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,,Singapore,SGP,East Asia & Pacific,1_High income,,
10111,SVK,Europe,Slovakia,2021-07-06,391735.0,15.0,18.0,12514.0,1.0,0.5710000000000001,71751.02799999999,2.747,3.2969999999999997,2292.091,0.183,0.105,,,,,,,,,,,,,,,,,,,3771877.0,2085589.0,1686288.0,23676.0,23740.0,69.09,38.2,30.89,4348.0,,5459643.0,113.12799999999999,41.2,15.07,9.167,30155.152000000002,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,,Slovak Republic,SVK,Europe & Central Asia,1_High income,,EMU
10291,SVN,Europe,Slovenia,2021-07-06,257477.0,48.0,27.143,4421.0,1.0,0.28600000000000003,123850.612,23.089000000000002,13.056,2126.573,0.48100000000000004,0.13699999999999998,,,,,,,,,,,,,,,,,,,1543603.0,833032.0,710571.0,8413.0,9093.0,74.25,40.07,34.18,4374.0,,2078932.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917,,Slovenia,SVN,Europe & Central Asia,1_High income,,EMU
10309,SOM,Africa,Somalia,2021-07-06,14995.0,18.0,8.857000000000001,775.0,0.0,0.0,943.4839999999999,1.133,0.557,48.763000000000005,0.0,0.0,,,,,,,,,,,,,,,,,,,234363.0,149336.0,85027.0,,3707.0,1.47,0.94,0.53,233.0,,15893219.0,23.5,16.8,2.7310000000000003,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,,Somalia,SOM,Sub-Saharan Africa,4_Low income,IDA,HIPC
10417,ZAF,Africa,South Africa,2021-07-06,2090909.0,15500.0,19491.857,62628.0,457.0,337.714,35254.682,261.345,328.651,1055.9669999999999,7.705,5.694,,,,,,,,,,,,,,,,,,,3631102.0,3631102.0,479794.0,164874.0,104348.0,6.12,6.12,0.81,1759.0,,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.7090000000000001,,South Africa,ZAF,Sub-Saharan Africa,2_Upper middle income,IBRD,
10526,KOR,Asia,South Korea,2021-07-06,162753.0,1212.0,827.429,2033.0,1.0,2.1430000000000002,3174.48,23.64,16.139,39.653,0.02,0.042,,,,,,,,,,28776.0,10594017.0,206.635,0.561,22162.0,0.43200000000000005,0.037000000000000005,26.8,people tested,19773736.0,15439910.0,5463292.0,133596.0,96388.0,38.57,30.12,10.66,1880.0,,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,,"Korea, Rep.",KOR,East Asia & Pacific,1_High income,,
10654,ESP,Europe,Spain,2021-07-06,3880612.0,14137.0,11554.143,80952.0,18.0,17.570999999999998,82999.25200000001,302.365,247.122,1731.4160000000002,0.385,0.376,,,,,,,,,,,,,,,,,,,45233735.0,26996373.0,19982080.0,689411.0,564820.0,96.75,57.74,42.74,12080.0,,46754783.0,93.105,45.5,19.436,13.799000000000001,34272.36,1.0,99.40299999999999,7.17,27.4,31.4,,2.97,83.56,0.904,,Spain,ESP,Europe & Central Asia,1_High income,,EMU
10765,SUR,South America,Suriname,2021-07-06,22581.0,116.0,151.714,552.0,4.0,5.143,38492.484,197.738,258.618,940.961,6.819,8.767000000000001,,,,,,,,,,,,,,,,,,,203963.0,165456.0,38507.0,1199.0,1340.0,34.77,28.2,6.56,2284.0,,586634.0,3.612,29.6,6.933,4.229,13767.118999999999,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,,Suriname,SUR,Latin America & Caribbean,2_Upper middle income,IBRD,
10794,SWE,Europe,Sweden,2021-07-06,1091730.0,850.0,283.857,14633.0,2.0,1.0,108099.89199999999,84.164,28.107,1448.9170000000001,0.198,0.099,,,,,,,,,,,,,,,,,,,8732503.0,5302083.0,3430420.0,,143045.0,86.47,52.5,33.97,14164.0,,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,,Sweden,SWE,Europe & Central Asia,1_High income,,
10952,TWN,Asia,Taiwan,2021-07-06,15088.0,27.0,48.571000000000005,706.0,17.0,9.0,633.503,1.1340000000000001,2.039,29.643,0.7140000000000001,0.37799999999999995,,,,,,,,,,,,,,,,,,,2740540.0,2691066.0,49474.0,111751.0,105409.0,11.51,11.3,0.21,4426.0,,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,,,"Taiwan, China",TWN,East Asia & Pacific,1_High income,,
11053,THA,Asia,Thailand,2021-07-06,294653.0,5420.0,5734.0,2333.0,57.0,51.857,4221.391,77.65,82.149,33.424,0.8170000000000001,0.743,,,,,,,,,,,,,,,,,,,11328043.0,8245297.0,3082746.0,269653.0,236477.0,16.23,11.81,4.42,3388.0,53.7,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,Thailand,THA,East Asia & Pacific,2_Upper middle income,IBRD,
11061,TLS,Asia,Timor,2021-07-06,9558.0,46.0,62.857,25.0,0.0,0.429,7249.465999999999,34.89,47.675,18.962,0.0,0.325,,,,,,,,,,,,,,,,,,,244497.0,218164.0,26333.0,,2247.0,18.54,16.55,2.0,1704.0,,1318442.0,87.176,18.0,3.556,1.8969999999999998,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,,Timor-Leste,TLS,East Asia & Pacific,3_Lower middle income,Blend,
11128,TTO,North America,Trinidad and Tobago,2021-07-06,33805.0,250.0,182.429,903.0,4.0,10.0,24155.211,178.636,130.35399999999998,645.235,2.858,7.145,,,,,,,,,,,,,,,,,,,344245.0,220748.0,123497.0,4222.0,7349.0,24.6,15.77,8.82,5251.0,,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.7959999999999999,,Trinidad and Tobago,TTO,Latin America & Caribbean,1_High income,IBRD,
11212,TUN,Africa,Tunisia,2021-07-06,455091.0,7930.0,5844.143,15601.0,119.0,108.286,38506.279,670.975,494.486,1320.036,10.068999999999999,9.162,,,,,,,,,,11221.0,1798784.0,152.19899999999998,0.9490000000000001,16294.0,1.379,0.359,2.8,people tested,2024789.0,1424024.0,600765.0,25426.0,29051.0,17.13,12.05,5.08,2458.0,,11818618.0,74.22800000000001,32.7,8.001,5.075,10849.296999999999,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,Tunisia,TUN,Middle East & North Africa,3_Lower middle income,IBRD,
11356,TUR,Asia,Turkey,2021-07-06,5454763.0,5299.0,4943.857,49996.0,37.0,44.143,64676.587,62.83,58.619,592.798,0.439,0.523,,,,,,,,,,,,,,,,,,,55004225.0,36736718.0,16140197.0,856035.0,800397.0,65.22,43.56,19.14,9490.0,,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,,Turkey,TUR,Europe & Central Asia,2_Upper middle income,IBRD,
11469,UKR,Europe,Ukraine,2021-07-06,2306006.0,993.0,992.429,54815.0,31.0,40.571,52728.282999999996,22.706,22.693,1253.38,0.7090000000000001,0.9279999999999999,,,,,,,,,,20151.0,10945216.0,250.269,0.461,18199.0,0.41600000000000004,0.055,18.3,tests performed,3092168.0,2136561.0,955607.0,93554.0,72671.0,7.07,4.89,2.19,1662.0,,43733759.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,,Ukraine,UKR,Europe & Central Asia,3_Lower middle income,IBRD,
11475,ARE,Asia,United Arab Emirates,2021-07-06,642601.0,1552.0,1634.4289999999999,1843.0,4.0,5.143,64972.195,156.92,165.25400000000002,186.342,0.40399999999999997,0.52,,,,,,,,,,258483.0,59354505.0,6001.224,26.135,274449.0,27.749000000000002,0.006,167.9,tests performed,15650988.0,7368545.0,6359697.0,76347.0,64618.0,158.24,74.5,64.3,6533.0,,9890400.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,United Arab Emirates,ARE,Middle East & North Africa,1_High income,,
11654,GBR,Europe,United Kingdom,2021-07-06,4975903.0,28629.0,26325.0,128532.0,37.0,20.285999999999998,73297.922,421.722,387.782,1893.351,0.545,0.299,,,,,,,,,,,,,,,,,,,79541794.0,45514492.0,34027302.0,238937.0,278512.0,117.17,67.05,50.12,4103.0,,67886004.0,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,,United Kingdom,GBR,Europe & Central Asia,1_High income,,
11822,USA,North America,United States,2021-07-06,33747513.0,24224.0,13665.857,605906.0,334.0,215.857,101955.41699999999,73.184,41.286,1830.517,1.0090000000000001,0.652,,,,,,,,,,,,,,,,,,,331214347.0,182714064.0,157636088.0,,865929.0,99.03,54.63,47.13,2589.0,,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.9259999999999999,,United States,USA,North America,1_High income,,
11923,URY,South America,Uruguay,2021-07-06,374019.0,733.0,834.429,5735.0,24.0,25.285999999999998,107670.81,211.013,240.21099999999998,1650.965,6.909,7.279,,,,,,,,,,,,,,10251.0,2.951,0.081,12.3,tests performed,4162343.0,2322467.0,1839876.0,48312.0,39478.0,119.82,66.86,52.97,11365.0,,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.8170000000000001,,Uruguay,URY,Latin America & Caribbean,1_High income,IBRD,
11977,VNM,Asia,Vietnam,2021-07-06,22341.0,1029.0,833.429,97.0,7.0,2.4290000000000003,229.518,10.571,8.562000000000001,0.997,0.07200000000000001,0.025,,,,,,,,,,,,,,,,,,,3928001.0,3692431.0,235570.0,24896.0,47719.0,4.04,3.79,0.24,490.0,75.46,97338583.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.84700000000001,2.6,75.4,0.7040000000000001,,Vietnam,VNM,East Asia & Pacific,3_Lower middle income,IBRD,
12106,ZWE,Africa,Zimbabwe,2021-07-06,57963.0,1949.0,1347.1429999999998,1939.0,28.0,25.429000000000002,3899.837,131.132,90.63799999999999,130.459,1.8840000000000001,1.7109999999999999,,,,,,,,,,,,,,,,,,,1382567.0,807633.0,574934.0,13131.0,9567.0,9.3,5.43,3.87,644.0,,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.5710000000000001,,Zimbabwe,ZWE,Sub-Saharan Africa,3_Lower middle income,Blend,
