,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality,wbEconomy,wbCode,wbRegion,wbIncome_group,wbLending category,wbOther (EMU or HIPC)
3489,FJI,Oceania,Fiji,2021-07-06,7149.0,636.0,429.286,39.0,6.0,2.571,7974.843000000001,709.47,478.876,43.505,6.693,2.8680000000000003,,,,,,,,,,,,,,,,,,,379199.0,324462.0,54737.0,,8129.0,42.3,36.19,6.11,9068.0,,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,,Fiji,FJI,East Asia & Pacific,2_Upper middle income,Blend,
3624,FIN,Europe,Finland,2021-07-06,96791.0,222.0,200.571,973.0,0.0,0.5710000000000001,17469.036,40.067,36.2,175.609,0.0,0.10300000000000001,,,,,,,,,,,,,,,,,,,4538998.0,3376415.0,1162583.0,,38705.0,81.92,60.94,20.98,6986.0,,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,,Finland,FIN,Europe & Central Asia,1_High income,,EMU
3896,GEO,Asia,Georgia,2021-07-06,371293.0,1407.0,889.2860000000001,5383.0,10.0,12.286,93075.135,352.705,222.925,1349.402,2.5069999999999997,3.08,,,,,,,,,,,,,,,,,,,380187.0,272810.0,107377.0,3994.0,3605.0,9.53,6.84,2.69,904.0,,3989175.0,65.032,38.7,14.864,10.244000000000002,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,,Georgia,GEO,Europe & Central Asia,2_Upper middle income,IBRD,
4089,DEU,Europe,Germany,2021-07-06,3739575.0,713.0,596.571,91118.0,50.0,33.571,44633.551,8.51,7.12,1087.535,0.597,0.401,,,,,,,,,,,,,,,,,,,78768168.0,47544861.0,33258959.0,760012.0,676026.0,94.01,56.75,39.7,8069.0,,83783945.0,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.9470000000000001,,Germany,DEU,Europe & Central Asia,1_High income,,EMU
4338,GRC,Europe,Greece,2021-07-06,429144.0,2181.0,1045.0,12730.0,8.0,7.7139999999999995,41172.57,209.248,100.259,1221.3310000000001,0.768,0.74,,,,,,,,,,,,,,,,,,,8884422.0,5081723.0,4058143.0,82304.0,83607.0,85.24,48.75,38.93,8021.0,,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,Greece,GRC,Europe & Central Asia,1_High income,,EMU
4397,GRL,North America,Greenland,2021-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44246.0,30377.0,13869.0,599.0,1035.0,77.94,53.51,24.43,18231.0,,56772.0,0.13699999999999998,,,,,,199.94099999999997,2.16,,,,,71.7,,,Greenland,GRL,Europe & Central Asia,1_High income,,
4515,GTM,North America,Guatemala,2021-07-06,305319.0,2785.0,1806.4289999999999,9548.0,50.0,57.286,17042.106,155.451,100.83,532.944,2.7910000000000004,3.198,,,,,,,,,,,,,,,,,,,992483.0,822074.0,170409.0,12228.0,7783.0,5.54,4.59,0.95,434.0,,17915567.0,157.834,22.9,4.694,3.016,7423.808000000001,8.7,155.898,10.18,,,76.665,0.6,74.3,0.6629999999999999,,Guatemala,GTM,Latin America & Caribbean,2_Upper middle income,IBRD,
4584,GUY,South America,Guyana,2021-07-06,20568.0,179.0,87.0,482.0,4.0,2.0,26149.342,227.574,110.60799999999999,612.7959999999999,5.085,2.543,,,,,,,,,,,,,,,,,,,350190.0,235796.0,114394.0,,1453.0,44.52,29.98,14.54,1847.0,,786559.0,3.952,26.3,5.305,2.8369999999999997,7435.047,,373.159,11.62,,,77.15899999999999,1.6,69.91,0.682,,Guyana,GUY,Latin America & Caribbean,2_Upper middle income,IDA,HIPC
4723,HKG,Asia,Hong Kong,2021-07-06,11944.0,1.0,3.286,212.0,0.0,0.14300000000000002,1593.1729999999998,0.133,0.43799999999999994,28.278000000000002,0.0,0.019,,,,,,,,,,,,,,,,,,,4086235.0,2440856.0,1645379.0,59853.0,59600.0,54.51,32.56,21.95,7950.0,,7496988.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.9490000000000001,,"Hong Kong SAR, China",HKG,East Asia & Pacific,1_High income,,
5094,IND,Asia,India,2021-07-06,30663665.0,43733.0,42973.857,404211.0,930.0,822.429,22219.976000000002,31.69,31.14,292.906,0.674,0.596,,,,,,,,,,1647424.0,421424881.0,305.379,1.194,1897942.0,1.375,0.023,44.2,samples tested,354307646.0,288782557.0,65525089.0,3078149.0,3840533.0,25.67,20.93,4.75,2783.0,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,India,IND,South Asia,3_Lower middle income,IBRD,
